PAH003
CANT ODOR       1
CHRI DENT       1
COPR FOLI       2
CORD FRUI       1
LANT CAMA       2
MICR STRI       4
OPLE HIRT       4
PASP CONJ       3
PISO SPCS       1
PSID CATT       2
PSID GUAJ       3
RUBU ROSI       2
SCHI TERR       1
$
PAH004
ALEU MOLU       2
CHRI DENT       1
MICR STRI       4
NEPH EXAL       2
OPLE HIRT       4
PISO BRUN       1
PSID CATT       2
PSID GUAJ       3
RUBU ROSI       4
$
PAH005
ALEU MOLU       1
CHRI PARA       1
COPR FOLI       3
MICR STRI       5
NEPH EXAL       1
OPLE HIRT       4
PSID GUAJ       2
RUBU ROSI       5
SCHI TERR       2
$
PAH006
COPR FOLI       2
GREV ROBU       1
MICR STRI       3
NEST SAND       1
OPLE HIRT       3
OXAL SPCS       1
PISO BRUN       1
PLEO THUN       1
PSID CATT       2
PSID GUAJ       2
RUBU ROSI       4
SCHI TERR       2
$
PAH007
CHRI DENT       2
COPR FOLI       2
LANT CAMA       2
MICR STRI       5
NEPH EXAL       1
OPLE HIRT       3
PSID GUAJ       2
RUBU ROSI       4
$
PAH008
CHRI PARA       3
LANT CAMA       2
MICR STRI       3
NEPH EXAL       3
NEST SAND       2
OPLE HIRT       3
OXAL SPCS       1
RUBU ROSI       3
SCHI TERR       2
$
PAH009

CHRI PARA       1
MICR STRI       3
OXAL SPCS       1
OPLE HIRT       4
PSID GUAJ       3
RUBU ROSI       3
SCHI TERR       1
BLEC OCCI       1
$
PAH010
NEST SAND       2
OPLE HIRT       4
PSID CATT       2
PSID GUAJ       2
$
PAH014
BLEC OCCI       1
CANT ODOR       1
COCU TRIL       1
COPR FOLI       1
DIOS HILL       1
MICR STRI       1
OPLE HIRT       3
PASP CONJ       1
PSID CATT       1
SCHI TERR       1
$
PAH015
CANT ODOR       1
COPR FOLI       2
CORD FRUI       1
LANT CAMA       1
NEPH EXAL       1
OPLE HIRT       4
PASP CONJ       1
POUT SAND       1
PSID CATT       1
PSID GUAJ       1
SCHI TERR       1
SIDA RHOM       1
$
PAH016
CANT ODOR       1
COPR FOLI       2
CORD FRUI       1
KALA PINN       1
MICR STRI       1
NEPH EXAL       1
OPLE HIRT       3
PASP CONJ       1
PISO BRUN       1
SCHI TERR       1
$
PAH017
ANTI SPCS       1
CANT ODOR       1
COPR FOLI       2
FRAX UHDE       1
HEDI TERM       1
MICR STRI       1
NEPH EXAL       1
NEST SAND       1
OPLE HIRT       3
OXAL SPCS       1
PASP CONJ       1
PISO BRUN       1
PISO UMBE       1
RUBU ROSI       1
SCHI TERR       1
YOUN JAPO       1
$
PAH018
ANTI SPCS       1
CANT ODOR       1
COPR FOLI       1
CORD FRUI       1
MICR STRI       1
NEPH EXAL       1
OPLE HIRT       3
PASP CONJ       1
PISO BRUN       1
PSID CATT       1
RUBU ROSI       1
SCHI TERR       1
SIDA RHOM       1
$
PAH019
CANT ODOR       1
CHRI DENT       1
COPR FOLI       1
CORD FRUI       1
LANT CAMA       1
OPLE HIRT       3
PASP CONJ       2
PISO BRUN       1
PSID CATT       1
PSID GUAJ       1
SCHI TERR       1
$
PAH020
MICR STRI       2
OPLE HIRT       5
PASP CONJ       2
PSID CATT       2
PSID GUAJ       1
$
PAH021
CANT ODOR       1
CHRI DENT       1
COPR FOLI       2
CORD FRUI       2
GREV ROBU       1
MICR STRI       1
NEST SAND       1
OPLE HIRT       5
OXAL SPCS       1
PISO BRUN       1
PSID CATT       3
RUBU ROSI       1
SCHI TERR       2
$
PAH022
CANT ODOR       2
COPR FOLI       1
NEPH EXAL       1
OPLE HIRT       6
PASP CONJ       2
PISO SPCS       1
PSID CATT       2
PSID GUAJ       1
$
PAH023
AGER SPCS       2
ANTI SPCS       1
CANT ODOR       2
CHRI DENT       2
COPR FOLI       4
CORD FRUI       1
GREV ROBU       1
LANT CAMA       3
MICR STRI       3
NEST SAND       1
OPLE HIRT       4
PASP CONJ       3
PSID CATT       3
PSID GUAJ       3
RUBU ROSI       4
SCHI TERR       2
$
PAH024
CHRI DENT       1
MICR STRI       3
NEPH EXAL       2
NEST SAND       3
OPLE HIRT       4
PIPT ALBI       2
PISO SPCS       1
PSID CATT       2
PSID GUAJ       1
RUBU ROSI       3
$
PAH025
ALEU MOLU       1
CHRI DENT       2
CORD FRUI       1
LANT CAMA       4
MICR STRI       4
OPLE HIRT       4
PASP CONJ       4
PISO SPCS       2
PSID CATT       1
PSID GUAJ       2
RUBU ROSI       3
SCHI TERR       1
$
PAH026
ANTI SPCS       1
CANT ODOR       1
CORD FRUI       1
GREV ROBU       1
MICR STRI       4
NEPH EXAL       1
OPLE HIRT       5
OXAL SPCS       1
PASP CONJ       1
PISO SPCS       2
POUT SAND       1
PSID CATT       3
PSID GUAJ       1
SCHI TERR       3
SYZY CUMI
$
PAH027
CANT ODOR       2
CHRI DENT       1
COPR FOLI       2
LANT CAMA       1
MICR STRI       2
NEPH EXAL       1
OPLE HIRT       7
PASP CONJ       1
PISO BRUN       1
PISO UMBE       1
POUT SAND       1
PSID CATT       1
PSID GUAJ       1
RUBU ROSI       2
SCHI TERR       1
SIDA RHOM       1
$
PAH028
ALEU MOLU       1
ANTI SPCS       2
CHRI DENT       1
COPR FOLI       3
CORD FRUI       1
HEDI TERM       1
MICR STRI       2
NEPH EXAL       3
OPLE HIRT       4
PSID CATT       2
RUBU ROSI       4
SCHI TERR       1
$
PAH029
BUDL ASIA       1
LANT CAMA       2
MICR STRI       6
NEPH EXAL       1
OPLE HIRT       4
OXAL SPCS       1
RUBU ROSI       3
SCHI TERR       1
YOUN JAPO       1
$
PAH030
ALEU MOLU       2
ANTI SPCS       1
CHRI PARA       1
COPR FOLI       1
MICR STRI       5
NEPH EXAL       1
OPLE HIRT       4
OXAL SPCS       1
RUBU ROSI       4
$
PAH031
CANT ODOR       1
